pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_inverse_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost
1448,ST046__ST054,46,ST046,배곧1동행정복지센터,54,ST054,시흥 프리미엄 아울렛,1087.0,1.087,2.0,0.198910149,0.198910149,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.722410179,PRELIMINARY_90M,0.04612381720201977,0.5,0.5,0.198910149,0.1204016965,0.21635891567550494
149,ST003__ST045,3,ST003,배곧한울공원,45,ST045,시흥중앙도서관,4063.0,4.063,3.6462280998642367,0.303337094,0.303337094,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.708093583,PRELIMINARY_90M,0.17240208766495524,0.2742560181677153,0.2742560181677153,0.303337094,0.11801559716666667,0.21700269924983429
109,ST003__ST005,3,ST003,배곧한울공원,5,ST005,배곧중·고등학교,4928.0,4.928,2.777738601711209,0.110945923,0.110945923,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.138942822,PRELIMINARY_90M,0.20910595323969958,0.3600050772898343,0.3600050772898343,0.110945923,0.18982380366666665,0.2174701892990501
880,ST020__ST045,20,ST020,시화공업단지[왼쪽부근],45,ST045,시흥중앙도서관,1373.0,1.373,2.951996349336429,0.38168565,0.38168565,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.548337,PRELIMINARY_90M,0.05825943055968091,0.3387538064621209,0.3387538064621209,0.38168565,0.0913895,0.21752209675545045
147,ST003__ST043,3,ST003,배곧한울공원,43,ST043,시흥종합버스터미널,4739.0,4.739,3.5517107534895764,0.285116743,0.285116743,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.649359863,PRELIMINARY_90M,0.2010862646921543,0.281554459077923,0.281554459077923,0.285116743,0.10822664383333334,0.21899602765085266
797,ST018__ST033,18,ST018,정왕역,33,ST033,타원산업단지,3728.0,3.728,2.6919701197263484,0.201894718,0.201894718,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.876118982,PRELIMINARY_90M,0.15818729579496754,0.3714751485063492,0.3714751485063492,0.201894718,0.14601983033333335,0.2193942481586625
159,ST003__ST055,3,ST003,배곧한울공원,55,ST055,해양생태과학관,4683.0,4.683,2.979187730277081,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.085033623,PRELIMINARY_90M,0.1987100606780668,0.33566196243262403,0.33566196243262403,0.0,0.34750560383333334,0.220469406736006
935,ST022__ST033,22,ST022,오이도박물관,33,ST033,타원산업단지,4913.0,4.913,2.071261974418769,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.146746424,PRELIMINARY_90M,0.20846947002164043,0.4827974502262645,0.4827974502262645,0.0,0.191124404,0.22059783106197622
868,ST020__ST033,20,ST020,시화공업단지[왼쪽부근],33,ST033,타원산업단지,1990.0,1.99,1.8702031081023514,0.164715764,0.164715764,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.638115692,PRELIMINARY_90M,0.08444010692918064,0.5347012822659006,0.5347012822659006,0.164715764,0.10635261533333333,0.22255244213210362
1236,ST033__ST037,33,ST033,타원산업단지,37,ST037,군자동행정복지센터,6377.0,6.377,2.6778195613261624,0.052201447,0.052201447,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.167165179,PRELIMINARY_90M,0.2705902321042135,0.3734381563426777,0.3734381563426777,0.052201447,0.19452752983333332,0.2226893413200561
10,ST001__ST011,1,ST001,월곶역,11,ST011,배곧생명공원,5473.0,5.473,3.399135690853287,0.159476951,0.159476951,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.230120641,PRELIMINARY_90M,0.2322315101625154,0.2941924332973508,0.2941924332973508,0.159476951,0.20502010683333335,0.2227302503232999
1247,ST033__ST048,33,ST033,타원산업단지,48,ST048,정왕평생학습관 사거리,3608.0,3.608,2.731241808577759,0.220485387,0.220485387,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.925063471,PRELIMINARY_90M,0.15309543005049434,0.36613382120154736,0.36613382120154736,0.220485387,0.15417724516666667,0.22347297085467707
237,ST005__ST032,5,ST005,배곧중·고등학교,32,ST032,희망공원,7099.0,7.099,2.860833291777587,0.077000335,0.077000335,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.999605979,PRELIMINARY_90M,0.3012262910001273,0.34954850493180856,0.34954850493180856,0.077000335,0.16660099650000001,0.223594031857984
833,ST019__ST033,19,ST019,시화병원,33,ST033,타원산업단지,3836.0,3.836,2.7436795030655845,0.224557843,0.224557843,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.855941648,PRELIMINARY_90M,0.16276997496499343,0.3644740571494134,0.3644740571494134,0.224557843,0.14265694133333334,0.22361470411193507
252,ST005__ST047,5,ST005,배곧중·고등학교,47,ST047,배곧2동행정복지센터,3334.0,3.334,2.6812687086629072,0.216881735,0.216881735,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.993464254,PRELIMINARY_90M,0.1414690032672805,0.37295777061400126,0.37295777061400126,0.216881735,0.16557737566666667,0.2242214711369871
