from_station_id,to_station_id,reference_distance_km,structure_distance_km,distance_stretch,structure
ST003,ST006,12.193999999999999,12.193999999999999,1.0,CANDIDATE_GRAPH
ST003,ST007,11.892,11.892,1.0,CANDIDATE_GRAPH
ST003,ST008,13.004999999999999,13.004999999999999,1.0,CANDIDATE_GRAPH
ST003,ST009,13.838,13.838,1.0,CANDIDATE_GRAPH
ST003,ST010,15.987,15.987,1.0,CANDIDATE_GRAPH
ST003,ST011,3.1750000000000003,3.1750000000000003,1.0,CANDIDATE_GRAPH
ST003,ST012,13.626,13.626,1.0,CANDIDATE_GRAPH
ST003,ST013,14.001,14.001,1.0,CANDIDATE_GRAPH
ST003,ST014,15.006,15.006,1.0,CANDIDATE_GRAPH
ST003,ST015,16.9,16.9,1.0,CANDIDATE_GRAPH
ST003,ST016,14.75,14.75,1.0,CANDIDATE_GRAPH
ST003,ST017,10.538,10.538,1.0,CANDIDATE_GRAPH
ST003,ST018,4.966,4.966,1.0,CANDIDATE_GRAPH
ST003,ST019,4.507,4.507,1.0,CANDIDATE_GRAPH
ST003,ST020,4.917999999999999,4.917999999999999,1.0,CANDIDATE_GRAPH
ST003,ST021,2.859,2.859,1.0,CANDIDATE_GRAPH
ST003,ST022,3.668,3.668,1.0,CANDIDATE_GRAPH
ST003,ST023,4.569,4.569,1.0,CANDIDATE_GRAPH
ST003,ST024,17.199,17.199,1.0,CANDIDATE_GRAPH
ST003,ST025,17.262,17.262,1.0,CANDIDATE_GRAPH
ST003,ST026,15.423,15.423,1.0,CANDIDATE_GRAPH
ST003,ST027,15.046,15.046,1.0,CANDIDATE_GRAPH
ST003,ST028,15.963,15.963,1.0,CANDIDATE_GRAPH
ST003,ST029,12.806000000000001,12.806000000000001,1.0,CANDIDATE_GRAPH
ST003,ST030,10.67,10.67,1.0,CANDIDATE_GRAPH
ST003,ST031,8.26,8.26,1.0,CANDIDATE_GRAPH
ST003,ST032,2.946,2.946,1.0,CANDIDATE_GRAPH
ST003,ST033,4.416,4.416,1.0,CANDIDATE_GRAPH
ST003,ST034,9.663,9.663,1.0,CANDIDATE_GRAPH
ST003,ST035,9.31,9.31,1.0,CANDIDATE_GRAPH
ST003,ST036,9.954,9.954,1.0,CANDIDATE_GRAPH
ST003,ST037,9.617,9.617,1.0,CANDIDATE_GRAPH
ST003,ST038,13.952,13.952,1.0,CANDIDATE_GRAPH
ST003,ST039,13.615,13.615,1.0,CANDIDATE_GRAPH
ST003,ST040,9.633000000000001,9.633000000000001,1.0,CANDIDATE_GRAPH
ST003,ST041,14.026,14.026,1.0,CANDIDATE_GRAPH
ST003,ST042,12.265,12.265,1.0,CANDIDATE_GRAPH
ST003,ST043,4.734,4.734,1.0,CANDIDATE_GRAPH
ST003,ST044,4.512,4.512,1.0,CANDIDATE_GRAPH
ST003,ST045,4.063,4.063,1.0,CANDIDATE_GRAPH
ST003,ST046,4.543,4.543,1.0,CANDIDATE_GRAPH
ST003,ST047,2.142,2.142,1.0,CANDIDATE_GRAPH
