pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,structure
878,ST020__ST043,20,ST020,시화공업단지[왼쪽부근],43,ST043,시흥종합버스터미널,792.0,0.792,2.422886141395766,0.407592084,0.407592084,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.610397046,PRELIMINARY_90M,0.036000344500904315,0.5820188732835356,0.407592084,0.0644778970657472,0.24057360079188575,CANDIDATE_GRAPH
1474,ST050__ST054,50,ST050,시흥한라3차아파트,54,ST054,시흥 프리미엄 아울렛,4969.0,4.969,4.404187534909858,0.286229319,0.286229319,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.464039357,PRELIMINARY_90M,0.3957454138317113,0.0,0.286229319,0.20611014618443493,0.24098474651876417,CANDIDATE_GRAPH
879,ST020__ST044,20,ST020,시화공업단지[왼쪽부근],44,ST044,경기과학기술대학교,406.0,0.406,2.506476981067469,0.352976565,0.352976565,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.876973273,PRELIMINARY_90M,0.0027560072345189906,0.5574635751942025,0.352976565,0.274622166391066,0.24189478377958207,CANDIDATE_GRAPH
115,ST003__ST011,3,ST003,배곧한울공원,11,ST011,배곧생명공원,4442.0,4.442,2.929381135965357,0.030002831,0.030002831,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.252044916,PRELIMINARY_90M,0.3503574196882267,0.43323300606103465,0.030002831,0.17093704254068998,0.24241296223418976,CANDIDATE_GRAPH
56,ST002__ST004,2,ST002,월곶포구,4,ST004,배곧중심상가,3192.0,3.192,3.5458499603414118,0.332930014,0.332930014,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.198313388,PRELIMINARY_90M,0.24270088708982862,0.2521416830789185,0.332930014,0.16202216442234924,0.2429094752605761,CANDIDATE_GRAPH
1408,ST043__ST044,43,ST043,시흥종합버스터미널,44,ST044,경기과학기술대학교,734.0,0.734,2.289035195013716,0.336285385,0.336285385,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.176164054,PRELIMINARY_90M,0.031005081388338643,0.6213383716981828,0.336285385,0.15834725286925844,0.24294288700594388,CANDIDATE_GRAPH
149,ST003__ST045,3,ST003,배곧한울공원,45,ST045,시흥중앙도서관,4063.0,4.063,3.6462280998642367,0.303337094,0.303337094,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.708093583,PRELIMINARY_90M,0.31771595900439237,0.22265501746680116,0.303337094,0.08068723918493967,0.24366894852263848,CANDIDATE_GRAPH
1220,ST032__ST043,32,ST032,희망공원,43,ST043,시흥종합버스터미널,3095.0,3.095,2.2048417647809075,0.071388765,0.071388765,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.910646818,PRELIMINARY_90M,0.2343467401601929,0.646070684289486,0.071388765,0.11429390308812581,0.24622677262718362,CANDIDATE_GRAPH
868,ST020__ST033,20,ST020,시화공업단지[왼쪽부근],33,ST033,타원산업단지,1990.0,1.99,1.8702031081023514,0.164715764,0.164715764,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.638115692,PRELIMINARY_90M,0.13917836534320902,0.7443727470421532,0.164715764,0.06907684222687185,0.24912744461258457,CANDIDATE_GRAPH
951,ST022__ST049,22,ST022,오이도박물관,49,ST049,거북섬 웨이브파크 정문,2432.0,2.432,2.198773004915802,0.078808855,0.078808855,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.80570442,PRELIMINARY_90M,0.17724571527000257,0.6478534179969773,0.078808855,0.26279757919285823,0.25072853457282507,CANDIDATE_GRAPH
166,ST004__ST011,4,ST004,배곧중심상가,11,ST011,배곧생명공원,2231.0,2.231,3.33315178950529,0.458588112,0.458588112,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.948297628,PRELIMINARY_90M,0.15993454482818018,0.3146230148665793,0.458588112,0.12054074539283013,0.25162983347210344,CANDIDATE_GRAPH
807,ST018__ST043,18,ST018,정왕역,43,ST043,시흥종합버스터미널,1406.0,1.406,2.6557306312689994,0.43367149,0.43367149,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.599226145,PRELIMINARY_90M,0.08888123331323745,0.5136194424397824,0.43367149,0.0626244746042261,0.2516438638382235,CANDIDATE_GRAPH
3,ST001__ST004,1,ST001,월곶역,4,ST004,배곧중심상가,4737.0,4.737,3.465738984511636,0.156110614,0.156110614,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.268327568,PRELIMINARY_90M,0.37576436138144864,0.2756747508104226,0.156110614,0.1736385822777203,0.2517259174872496,CANDIDATE_GRAPH
820,ST019__ST020,19,ST019,시화병원,20,ST020,시화공업단지[왼쪽부근],1979.0,1.979,2.8736363843131483,0.422822321,0.422822321,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.548112375,PRELIMINARY_90M,0.13823098785634313,0.4496083529185587,0.422822321,0.054143922372044954,0.2521296849392386,CANDIDATE_GRAPH
202,ST004__ST047,4,ST004,배곧중심상가,47,ST047,배곧2동행정복지센터,2617.0,2.617,4.125555851408769,0.591916562,0.591916562,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.078170272,PRELIMINARY_90M,0.1931788820945655,0.08184968678832416,0.591916562,0.14208859328144147,0.25327497558297896,CANDIDATE_GRAPH
137,ST003__ST033,3,ST003,배곧한울공원,33,ST033,타원산업단지,4416.0,4.416,2.7688580814682218,0.124574268,0.124574268,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.455012626,PRELIMINARY_90M,0.34811816381018,0.48038759224378025,0.124574268,0.03869725733056097,0.2548670313819032,CANDIDATE_GRAPH
784,ST018__ST020,18,ST018,정왕역,20,ST020,시화공업단지[왼쪽부근],1949.0,1.949,3.244027725944256,0.540858498,0.540858498,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.564911031,PRELIMINARY_90M,0.13564723107398158,0.34080372983808693,0.540858498,0.05693107502461671,0.2593915625972034,CANDIDATE_GRAPH
159,ST003__ST055,3,ST003,배곧한울공원,55,ST055,해양생태과학관,4683.0,4.683,2.979187730277081,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.085033623,PRELIMINARY_90M,0.3711135991731978,0.41860202765548005,0.0,0.30914254447354533,0.259981546912747,CANDIDATE_GRAPH
867,ST020__ST032,20,ST020,시화공업단지[왼쪽부근],32,ST032,희망공원,3417.0,3.417,2.3443302754970845,0.138210853,0.138210853,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.829933024,PRELIMINARY_90M,0.26207906295754024,0.6050951183767019,0.138210853,0.10090225645602437,0.2624347474288832,CANDIDATE_GRAPH
127,ST003__ST023,3,ST003,배곧한울공원,23,ST023,오이도역,4569.0,4.569,3.362496455886152,0.25196631,0.25196631,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.707990957,PRELIMINARY_90M,0.3612953234002239,0.3060028474757016,0.25196631,0.08067021196989801,0.2627460419807034,CANDIDATE_GRAPH
1420,ST044__ST045,44,ST044,경기과학기술대학교,45,ST045,시흥중앙도서관,1383.0,1.383,2.7968941464619532,0.482850734,0.482850734,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.927116456,PRELIMINARY_90M,0.08690035311342692,0.4721518341645844,0.482850734,0.11702646664788896,0.26311214391979965,CANDIDATE_GRAPH
63,ST002__ST011,2,ST002,월곶포구,11,ST011,배곧생명공원,3928.0,3.928,3.437997456052192,0.304495296,0.304495296,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.160746133,PRELIMINARY_90M,0.3060890534837654,0.28382398705988165,0.304495296,0.1557891851635865,0.2633881679058322,CANDIDATE_GRAPH
147,ST003__ST043,3,ST003,배곧한울공원,43,ST043,시흥종합버스터미널,4739.0,4.739,3.5517107534895764,0.285116743,0.285116743,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.649359863,PRELIMINARY_90M,0.37593661183360605,0.25042004081095814,0.285116743,0.07094242129632959,0.26358237124840317,CANDIDATE_GRAPH
252,ST005__ST047,5,ST005,배곧중·고등학교,47,ST047,배곧2동행정복지센터,3334.0,3.334,2.6812687086629072,0.216881735,0.216881735,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.993464254,PRELIMINARY_90M,0.2549306691930066,0.5061174828291513,0.216881735,0.12803457593877482,0.26387485092419877,CANDIDATE_GRAPH
1227,ST032__ST050,32,ST032,희망공원,50,ST050,시흥한라3차아파트,4271.0,4.271,3.200955888599408,0.219882908,0.219882908,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.156929234,PRELIMINARY_90M,0.3356300060287658,0.35345633399198484,0.219882908,0.15515590353841074,0.2664058814392266,CANDIDATE_GRAPH
1247,ST033__ST048,33,ST033,타원산업단지,48,ST048,정왕평생학습관 사거리,3608.0,3.608,2.731241808577759,0.220485387,0.220485387,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.925063471,PRELIMINARY_90M,0.2785289811385755,0.49143759242876095,0.220485387,0.11668584519647998,0.26839688541372564,CANDIDATE_GRAPH
797,ST018__ST033,18,ST018,정왕역,33,ST033,타원산업단지,3728.0,3.728,2.6919701197263484,0.201894718,0.201894718,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.876118982,PRELIMINARY_90M,0.2888640082680217,0.5029738807350543,0.201894718,0.10856520969176346,0.26845563999458294,CANDIDATE_GRAPH
1412,ST043__ST048,43,ST043,시흥종합버스터미널,48,ST048,정왕평생학습관 사거리,1307.0,1.307,3.0428754779308687,0.59325425,0.59325425,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.728620186,PRELIMINARY_90M,0.08035483593144432,0.3998933792626782,0.59325425,0.08409291497232037,0.2690303681743892,CANDIDATE_GRAPH
952,ST022__ST050,22,ST022,오이도박물관,50,ST050,시흥한라3차아파트,4574.0,4.574,3.4123151124351194,0.205257775,0.205257775,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.596050461,PRELIMINARY_90M,0.36172594953061754,0.291368325717403,0.205257775,0.22801279712761313,0.2703941107983387,CANDIDATE_GRAPH
843,ST019__ST043,19,ST019,시화병원,43,ST043,시흥종합버스터미널,1504.0,1.504,1.864455410627717,0.337651847,0.337651847,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.368706378,PRELIMINARY_90M,0.09732150546895185,0.7460611667944999,0.337651847,0.024377737480477956,0.2713443826451048,CANDIDATE_GRAPH
1441,ST046__ST047,46,ST046,배곧1동행정복지센터,47,ST047,배곧2동행정복지센터,3069.0,3.069,4.129648039445814,0.60945262,0.60945262,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.115499419,PRELIMINARY_90M,0.23210748428214625,0.08064758261660032,0.60945262,0.14828206679975695,0.2719726010420348,CANDIDATE_GRAPH
178,ST004__ST023,4,ST004,배곧중심상가,23,ST023,오이도역,1713.0,1.713,2.7144915430768712,0.4750888,0.4750888,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.778708558,PRELIMINARY_90M,0.11532167771940402,0.49635808089454436,0.4750888,0.09240333807300183,0.2722669040916506,CANDIDATE_GRAPH
988,ST023__ST054,23,ST023,오이도역,54,ST054,시흥 프리미엄 아울렛,4175.0,4.175,3.62850171203835,0.340947009,0.340947009,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.34126926,PRELIMINARY_90M,0.32736198432520885,0.2278622475750438,0.340947009,0.18574071892132277,0.27324700411703023,CANDIDATE_GRAPH
833,ST019__ST033,19,ST019,시화병원,33,ST033,타원산업단지,3836.0,3.836,2.7436795030655845,0.224557843,0.224557843,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.855941648,PRELIMINARY_90M,0.2981655326845233,0.48778394692296034,0.224557843,0.10521748294624725,0.2738368090161123,CANDIDATE_GRAPH
1381,ST041__ST042,41,ST041,연꽃테마파크,42,ST042,시흥시청역,3357.0,3.357,2.4375560527901543,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.986825232,PRELIMINARY_90M,0.25691154939281713,0.5777095010048499,0.0,0.458763494809769,0.2742754667099213,CANDIDATE_GRAPH
187,ST004__ST032,4,ST004,배곧중심상가,32,ST032,희망공원,5657.0,5.657,3.382880136450011,0.171375946,0.171375946,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.759506429,PRELIMINARY_90M,0.4549995693738696,0.30001502208276287,0.171375946,0.08921741267650729,0.275479452098883,CANDIDATE_GRAPH
1246,ST033__ST047,33,ST033,타원산업단지,47,ST047,배곧2동행정복지센터,5822.0,5.822,2.832765178273928,0.030351918,0.030351918,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.750301445,PRELIMINARY_90M,0.46921023167685816,0.4616145087545951,0.030351918,0.08769016576029681,0.27728798720186393,CANDIDATE_GRAPH
10,ST001__ST011,1,ST001,월곶역,11,ST011,배곧생명공원,5473.0,5.473,3.399135690853287,0.159476951,0.159476951,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.230120641,PRELIMINARY_90M,0.43915252777538544,0.29523985789554474,0.159476951,0.16729947170038212,0.2777155148055512,CANDIDATE_GRAPH
123,ST003__ST019,3,ST003,배곧한울공원,19,ST019,시화병원,4589.0,4.589,3.3569912039784113,0.314662169,0.314662169,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.732725069,PRELIMINARY_90M,0.3630178279217983,0.30762004742467164,0.314662169,0.08477397752529763,0.27996188813635836,CANDIDATE_GRAPH
124,ST003__ST020,3,ST003,배곧한울공원,20,ST020,시화공업단지[왼쪽부근],5193.0,5.193,3.656428711169751,0.322906619,0.322906619,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.631602774,PRELIMINARY_90M,0.4150374644733442,0.21965852823085064,0.322906619,0.0679962500247527,0.2801209104655535,CANDIDATE_GRAPH
153,ST003__ST049,3,ST003,배곧한울공원,49,ST049,거북섬 웨이브파크 정문,5138.0,5.138,2.9650251146495297,0.037330956,0.037330956,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.978649013,PRELIMINARY_90M,0.41030057703901474,0.422762378835406,0.037330956,0.29149171883878544,0.2812141745565542,CANDIDATE_GRAPH
1248,ST033__ST049,33,ST033,타원산업단지,49,ST049,거북섬 웨이브파크 정문,6473.0,6.473,3.047600158788452,0.029639496,0.029639496,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.648130457,PRELIMINARY_90M,0.5252777538541039,0.39850547662537295,0.029639496,0.07073844413327633,0.2815689497940024,CANDIDATE_GRAPH
148,ST003__ST044,3,ST003,배곧한울공원,44,ST044,경기과학기술대학교,4512.0,4.512,3.1706580906619517,0.229161108,0.229161108,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.318416395,PRELIMINARY_90M,0.35638618551373696,0.3623564893526261,0.229161108,0.18194908086982542,0.281789101930807,CANDIDATE_GRAPH
109,ST003__ST005,3,ST003,배곧한울공원,5,ST005,배곧중·고등학교,4928.0,4.928,2.777738601711209,0.110945923,0.110945923,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.138942822,PRELIMINARY_90M,0.39221427956248384,0.4777788874788641,0.110945923,0.1521716840915664,0.2833930087063771,CANDIDATE_GRAPH
947,ST022__ST045,22,ST022,오이도박물관,45,ST045,시흥중앙도서관,5639.0,5.639,3.6640196738093724,0.218388661,0.218388661,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.321126041,PRELIMINARY_90M,0.45344931530445265,0.21742863855474548,0.218388661,0.18239865237342848,0.2841499511735218,CANDIDATE_GRAPH
883,ST020__ST048,20,ST020,시화공업단지[왼쪽부근],48,ST048,정왕평생학습관 사거리,2009.0,2.009,2.934480706161243,0.546394757,0.546394757,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.706491352,PRELIMINARY_90M,0.14081474463870466,0.4317349774878171,0.546394757,0.08042140468117445,0.28429405607328617,CANDIDATE_GRAPH
809,ST018__ST045,18,ST018,정왕역,45,ST045,시흥중앙도서관,934.0,0.934,2.8758540739318326,0.653957282,0.653957282,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.795146929,PRELIMINARY_90M,0.04823012660408234,0.4489568936214601,0.653957282,0.09513071396168056,0.2844308506299729,CANDIDATE_GRAPH
796,ST018__ST032,18,ST018,정왕역,32,ST032,희망공원,3868.0,3.868,2.4031752148338352,0.194564581,0.194564581,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.885911753,PRELIMINARY_90M,0.3009215399190423,0.5878090732533656,0.194564581,0.11018997941552457,0.2880539957846666,CANDIDATE_GRAPH
125,ST003__ST021,3,ST003,배곧한울공원,21,ST021,오이도 포구 해양관광 단지,3868.0,3.868,3.0553772480821526,0.133587529,0.0,0.133587529,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.056247109,PRELIMINARY_90M,0.3009215399190423,0.39622091115594826,0.133587529,0.47028164058447025,0.288505849540525,CANDIDATE_GRAPH
4,ST001__ST005,1,ST001,월곶역,5,ST005,배곧중·고등학교,4449.0,4.449,3.024333047970285,0.232362051,0.232362051,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.296898482,PRELIMINARY_90M,0.35096029627077774,0.4053403265211448,0.232362051,0.1783789316688561,0.2887515214993296,CANDIDATE_GRAPH
