pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,scenario,structure
1379,ST040__ST054,40,ST040,갯골생태공원,54,ST054,시흥 프리미엄 아울렛,5042.0,5.042,2.505555704817685,0.080180898,0.080180898,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.509985427,PRELIMINARY_90M,0.40203255533545773,0.5577342054812642,0.080180898,0.2137332983506408,0.3244650824830321,balanced,MST
454,ST010__ST014,10,ST010,은계호수공원,14,ST014,시흥대야역,1525.0,1.525,2.792670740390496,0.667821134,0.57752438,0.090296754,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.2539899,PRELIMINARY_90M,0.09913013521660495,0.47339248440143145,0.667821134,0.1712597449827669,0.3269747962143433,balanced,MST
595,ST013__ST026,13,ST013,삼미시장,26,ST026,은계파크자이,1938.0,1.938,2.6326125397405407,0.511569918,0.511569918,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.070334106,PRELIMINARY_90M,0.13469985358711567,0.5204105170475657,0.511569918,0.3067036709232997,0.33186007498285436,balanced,MST
452,ST010__ST012,10,ST010,은계호수공원,12,ST012,신천역,2361.0,2.361,2.79221465563128,0.473443851,0.473443851,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.295026039,PRELIMINARY_90M,0.17113082421841358,0.4735264619671615,0.473443851,0.34398348170533055,0.33311610708659734,balanced,MST
596,ST013__ST027,13,ST013,삼미시장,27,ST027,은행동행정복지센터,1561.0,1.561,2.6154869323133116,0.514819805,0.514819805,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.62974837,PRELIMINARY_90M,0.10223064335543881,0.525441264399645,0.514819805,0.3995190098286312,0.33461331294639923,balanced,MST
779,ST017__ST052,17,ST017,장곡동,52,ST052,가온그린공원,639.0,0.639,1.9871511618456574,0.588670368,0.588670368,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.720740011,PRELIMINARY_90M,0.02282318491086039,0.7100185722077744,0.588670368,0.24870069085140145,0.33560568403360924,balanced,MST
468,ST010__ST028,10,ST010,은계호수공원,28,ST028,매화산업단지,3734.0,3.734,2.2597817465071626,0.156648005,0.156648005,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.499811713,PRELIMINARY_90M,0.289380759624494,0.6299317433049347,0.156648005,0.3779605412092454,0.3375947349421714,balanced,MST
1322,ST037__ST045,37,ST037,군자동행정복지센터,45,ST045,시흥중앙도서관,5556.0,5.556,3.4490973986733664,0.318446298,0.318446298,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.229092844,PRELIMINARY_90M,0.446300921539919,0.28056331398962786,0.318446298,0.16712894453827729,0.3393139475946348,balanced,MST
714,ST016__ST025,16,ST016,물왕호수,25,ST025,목감동행정복지센터,3005.0,3.005,2.1381214943015445,0.193383798,0.119943446,0.161932073,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.924827881,PRELIMINARY_90M,0.22659546981310827,0.6656701539999965,0.193383798,0.4484771908761643,0.33938974685666723,balanced,MST
1144,ST029__ST039,29,ST029,관곡공원,39,ST039,능곡힐스테이트,4321.0,4.321,2.5005444574442675,0.134141311,0.069883904,0.064257407,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.555414981,PRELIMINARY_90M,0.33993626733270177,0.5592062887087678,0.134141311,0.3871859694755221,0.3394289878461626,balanced,MST
385,ST008__ST036,8,ST008,시흥능곡역,36,ST036,시흥시립군자도서관,4468.0,4.468,3.322939983305055,0.221339234,0.221339234,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.518784026,PRELIMINARY_90M,0.3525966755662734,0.3176227926683346,0.221339234,0.5470235534570783,0.341951570278738,balanced,MST
769,ST017__ST042,17,ST017,장곡동,42,ST042,시흥시청역,2716.0,2.716,1.8434790923881643,0.330839246,0.330839246,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.590121124,PRELIMINARY_90M,0.20170527947635863,0.7522230829711033,0.330839246,0.22702902989364263,0.3478908943688105,balanced,MST
713,ST016__ST024,16,ST016,물왕호수,24,ST024,목감고등학교,3229.0,3.229,2.105914035609522,0.176923572,0.176923572,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.167384816,PRELIMINARY_90M,0.2458875204547412,0.6751312833771932,0.176923572,0.48872107733856496,0.35092031945811986,balanced,MST
1285,ST035__ST045,35,ST035,산들공원,45,ST045,시흥중앙도서관,6104.0,6.104,3.104005896090232,0.305870296,0.305870296,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.734142852,PRELIMINARY_90M,0.4934975454310568,0.38193596136707975,0.305870296,0.0850092092991503,0.3630051658407112,balanced,MST
1403,ST042__ST051,42,ST042,시흥시청역,51,ST051,연성중학교,2072.0,2.072,2.5274345688921906,0.351208623,0.308075573,0.083245449,0.0,PRELIMINARY_POINT_BUFFER_PROXY,4.64619177,PRELIMINARY_90M,0.14624063388166395,0.551307161186513,0.351208623,0.7340776537505509,0.3666714896025508,balanced,MST
666,ST015__ST016,15,ST015,목감택지개발예정지구,16,ST016,물왕호수,3107.0,3.107,2.1181705540136373,0.281664379,0.281664379,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.053159992,PRELIMINARY_90M,0.23538024287313755,0.6715308594057094,0.281664379,0.4697694408980579,0.3693397799151056,balanced,MST
1135,ST029__ST030,29,ST029,관곡공원,30,ST030,장곡도서관,4785.0,4.785,2.344415023463761,0.235519282,0.235519282,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.140637973,PRELIMINARY_90M,0.3798983722332271,0.6050702231657867,0.235519282,0.3183681522600866,0.3796084368654612,balanced,MST
331,ST007__ST029,7,ST007,장현지구,29,ST029,관곡공원,4165.0,4.165,2.078936189138624,0.271907933,0.271907933,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.51365291,PRELIMINARY_90M,0.32650073206442165,0.6830561835756226,0.271907933,0.3802570064105875,0.3922270637524813,balanced,MST
740,ST016__ST051,16,ST016,물왕호수,51,ST051,연성중학교,2736.0,2.736,1.9961566566608884,0.363459039,0.363459039,0.145100799,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.605438126,PRELIMINARY_90M,0.203427783997933,0.7073731554312661,0.363459039,0.5614007872471636,0.39792062252250093,balanced,MST
1265,ST034__ST045,34,ST034,군자디지털과학고등학교,45,ST045,시흥중앙도서관,6540.0,6.54,2.9933398472819306,0.352023517,0.352023517,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.836864495,PRELIMINARY_90M,0.531048144001378,0.4144447605073809,0.352023517,0.10205229296989038,0.398621932897511,balanced,MST
480,ST010__ST040,10,ST010,은계호수공원,40,ST040,갯골생태공원,7454.0,7.454,2.3810988212602635,0.143643119,0.143643119,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.480173201,PRELIMINARY_90M,0.6097666006373267,0.5942941429938482,0.143643119,0.20878699640988027,0.42999429806518236,balanced,MST
1409,ST043__ST045,43,ST043,시흥종합버스터미널,45,ST045,시흥중앙도서관,671.0,0.671,3.1817228022763167,0.300402098,0.300402098,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.425583211,PRELIMINARY_90M,0.025579192145379383,0.35910616559669406,0.300402098,0.03381446955986759,0.16222560491147073,balanced,T2_SPANNER
151,ST003__ST047,3,ST003,배곧한울공원,47,ST047,배곧2동행정복지센터,2142.0,2.142,2.998593533213879,0.082490603,0.082490603,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.45164868,PRELIMINARY_90M,0.15226939970717424,0.41290145953524826,0.082490603,0.20405434432339853,0.19471885418842913,balanced,T2_SPANNER
259,ST005__ST054,5,ST005,배곧중·고등학교,54,ST054,시흥 프리미엄 아울렛,1508.0,1.508,1.711681176130996,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.623743217,PRELIMINARY_90M,0.09766600637326674,0.7909394917780753,0.0,0.06669222992096648,0.20725813539306676,balanced,T2_SPANNER
209,ST004__ST054,4,ST004,배곧중심상가,54,ST054,시흥 프리미엄 아울렛,3518.0,3.518,3.9115620934849367,0.174673018,0.174673018,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.470188615,PRELIMINARY_90M,0.2707777107914908,0.14471160486108936,0.174673018,0.2071304016588043,0.21199122003763488,balanced,T2_SPANNER
136,ST003__ST032,3,ST003,배곧한울공원,32,ST032,희망공원,2946.0,2.946,2.474419063810549,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.664390229,PRELIMINARY_90M,0.22151408147446386,0.5668807759001471,0.0,0.07343618773014575,0.21299721592933682,balanced,T2_SPANNER
1,ST001__ST002,1,ST001,월곶역,2,ST002,월곶포구,619.0,0.619,1.5532421960245575,0.149164241,0.149164241,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.47799073,PRELIMINARY_90M,0.02110068038928602,0.8374818689184798,0.149164241,0.042509674437898,0.2196041573550951,balanced,T2_SPANNER
880,ST020__ST045,20,ST020,시화공업단지[왼쪽부근],45,ST045,시흥중앙도서관,1373.0,1.373,2.951996349336429,0.38168565,0.38168565,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.548337,PRELIMINARY_90M,0.08603910085263974,0.42658965485339595,0.38168565,0.05418119107762378,0.22328216247337865,balanced,T2_SPANNER
1444,ST046__ST050,46,ST046,배곧1동행정복지센터,50,ST050,시흥한라3차아파트,2363.0,2.363,4.178737580648687,0.479447383,0.479447383,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.190735572,PRELIMINARY_90M,0.17130307467057102,0.06622724275592551,0.479447383,0.16076488943766587,0.2257432575850634,balanced,T2_SPANNER
934,ST022__ST032,22,ST022,오이도박물관,32,ST032,희망공원,2894.0,2.894,2.88457420094931,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.242877844,PRELIMINARY_90M,0.2170355697183705,0.4463953053047024,0.0,0.3353313026249875,0.2263929843420368,balanced,T2_SPANNER
1448,ST046__ST054,46,ST046,배곧1동행정복지센터,54,ST054,시흥 프리미엄 아울렛,1087.0,1.087,2.0,0.198910149,0.198910149,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.722410179,PRELIMINARY_90M,0.06140728619412626,0.7062441508450915,0.198910149,0.08306258031444422,0.22799866894383544,balanced,T2_SPANNER
1242,ST033__ST043,33,ST033,타원산업단지,43,ST043,시흥종합버스터미널,2934.0,2.934,2.565523484039041,0.07531911,0.07531911,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.889229462,PRELIMINARY_90M,0.22048057876151925,0.5401183195741607,0.07531911,0.11074043782361453,0.23165673859298203,balanced,T2_SPANNER
534,ST011__ST050,11,ST011,배곧생명공원,50,ST050,시흥한라3차아파트,995.0,0.995,2.969355785245408,0.47264275,0.47264275,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.56995669,PRELIMINARY_90M,0.05348376539488416,0.4214902190171036,0.47264275,0.057768226631615675,0.23251747145611673,balanced,T2_SPANNER
1222,ST032__ST045,32,ST032,희망공원,45,ST045,시흥중앙도서관,3542.0,3.542,3.695161173181692,0.239589717,0.239589717,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.100349444,PRELIMINARY_90M,0.27284471621738005,0.20828064096267274,0.239589717,0.1457684554127718,0.23255671224140234,balanced,T2_SPANNER
