pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_inverse_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,scenario,structure
468,ST010__ST028,10,ST010,은계호수공원,28,ST028,매화산업단지,3734.0,3.734,2.2597817465071626,0.156648005,0.156648005,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.499811713,PRELIMINARY_90M,0.3115561118064247,0.44252061135800064,0.44252061135800064,0.156648005,0.4166352855,0.3318400034161063,balanced,MST
1157,ST029__ST052,29,ST029,관곡공원,52,ST052,가온그린공원,4265.0,4.265,2.386392012061943,0.201240875,0.201240875,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.198243349,PRELIMINARY_90M,0.35586149353358365,0.4190426363085074,0.4190426363085074,0.201240875,0.36637389150000005,0.3356297240855228,balanced,MST
769,ST017__ST042,17,ST017,장곡동,42,ST042,시흥시청역,2716.0,2.716,1.8434790923881643,0.330839246,0.330839246,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.590121124,PRELIMINARY_90M,0.2266166040884439,0.5424525855102236,0.5424525855102236,0.330839246,0.2650201873333333,0.3412321557330002,balanced,MST
595,ST013__ST026,13,ST013,삼미시장,26,ST026,은계파크자이,1938.0,1.938,2.6326125397405407,0.511569918,0.511569918,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.070334106,PRELIMINARY_90M,0.16170212765957448,0.3798508078589323,0.3798508078589323,0.511569918,0.3450556843333333,0.34954463446295997,balanced,MST
714,ST016__ST025,16,ST016,물왕호수,25,ST025,목감동행정복지센터,3005.0,3.005,2.1381214943015445,0.193383798,0.119943446,0.161932073,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.924827881,PRELIMINARY_90M,0.25073007926574886,0.46770026991691965,0.46770026991691965,0.193383798,0.4874713135,0.3498213651706671,balanced,MST
452,ST010__ST012,10,ST010,은계호수공원,12,ST012,신천역,2361.0,2.361,2.79221465563128,0.473443851,0.473443851,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.295026039,PRELIMINARY_90M,0.1969962453066333,0.35813865455623944,0.35813865455623944,0.473443851,0.3825043398333334,0.35277077267405155,balanced,MST
6,ST001__ST007,1,ST001,월곶역,7,ST007,장현지구,6606.0,6.606,2.2379457054195973,0.124628605,0.124628605,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.757575321,PRELIMINARY_90M,0.551188986232791,0.4468383650140913,0.4468383650140913,0.124628605,0.29292922016666667,0.35389629410338724,balanced,MST
1135,ST029__ST030,29,ST029,관곡공원,30,ST030,장곡도서관,4785.0,4.785,2.344415023463761,0.235519282,0.235519282,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.140637973,PRELIMINARY_90M,0.3992490613266583,0.4265456371809749,0.4265456371809749,0.235519282,0.3567729955,0.35452174400190833,balanced,MST
480,ST010__ST040,10,ST010,은계호수공원,40,ST040,갯골생태공원,7454.0,7.454,2.3810988212602635,0.143643119,0.143643119,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.480173201,PRELIMINARY_90M,0.6219440967876513,0.41997416951839145,0.41997416951839145,0.143643119,0.24669553349999998,0.3580642297015107,balanced,MST
1302,ST036__ST043,36,ST036,시흥시립군자도서관,43,ST043,시흥종합버스터미널,6625.0,6.625,2.865241405107486,0.35286474,0.35286474,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.146151704,PRELIMINARY_90M,0.5527743012098456,0.34901073194650634,0.34901073194650634,0.35286474,0.191025284,0.361418764289088,balanced,MST
1376,ST040__ST051,40,ST040,갯골생태공원,51,ST051,연성중학교,5417.0,5.417,2.495832602905231,0.192518156,0.176017861,0.031845057,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.410565802,PRELIMINARY_90M,0.4519816437213183,0.4006678968917896,0.4006678968917896,0.192518156,0.40176096699999997,0.36173216590327695,balanced,MST
713,ST016__ST024,16,ST016,물왕호수,24,ST024,목감고등학교,3229.0,3.229,2.105914035609522,0.176923572,0.176923572,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.167384816,PRELIMINARY_90M,0.2694201084689195,0.474853191104055,0.474853191104055,0.176923572,0.5278974693333334,0.36227358522657693,balanced,MST
1080,ST027__ST028,27,ST027,은행동행정복지센터,28,ST028,매화산업단지,4046.0,4.046,2.177258890186534,0.235801443,0.235801443,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.540050863,PRELIMINARY_90M,0.3375886524822695,0.4592931068084082,0.4592931068084082,0.235801443,0.42334181049999997,0.3640062531976694,balanced,MST
666,ST015__ST016,15,ST015,목감택지개발예정지구,16,ST016,물왕호수,3107.0,3.107,2.1181705540136373,0.281664379,0.281664379,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.053159992,PRELIMINARY_90M,0.2592407175636212,0.47210551487704316,0.47210551487704316,0.281664379,0.5088599986666666,0.38046765252683273,balanced,MST
730,ST016__ST041,16,ST016,물왕호수,41,ST041,연꽃테마파크,3935.0,3.935,2.0,0.29027288,0.250287871,0.138484824,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.713464194,PRELIMINARY_90M,0.3283270755110555,0.5,0.5,0.29027288,0.4522440323333334,0.39271099696109724,balanced,MST
1409,ST043__ST045,43,ST043,시흥종합버스터미널,45,ST045,시흥중앙도서관,671.0,0.671,3.1817228022763167,0.300402098,0.300402098,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.425583211,PRELIMINARY_90M,0.055986649979140594,0.31429513573104634,0.31429513573104634,0.300402098,0.07093053516666667,0.1854036047192134,balanced,T2_SPANNER
136,ST003__ST032,3,ST003,배곧한울공원,32,ST032,희망공원,2946.0,2.946,2.474419063810549,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.664390229,PRELIMINARY_90M,0.2458072590738423,0.40413526335350114,0.40413526335350114,0.0,0.11073170483333333,0.1901685568151692,balanced,T2_SPANNER
259,ST005__ST054,5,ST005,배곧중·고등학교,54,ST054,시흥 프리미엄 아울렛,1508.0,1.508,1.711681176130996,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.623743217,PRELIMINARY_90M,0.12582394659991655,0.5842209483546189,0.5842209483546189,0.0,0.10395720283333333,0.2035005244469672,balanced,T2_SPANNER
151,ST003__ST047,3,ST003,배곧한울공원,47,ST047,배곧2동행정복지센터,2142.0,2.142,2.998593533213879,0.082490603,0.082490603,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.45164868,PRELIMINARY_90M,0.17872340425531916,0.3334896807198155,0.3334896807198155,0.082490603,0.24194144666666664,0.2091612836604503,balanced,T2_SPANNER
1242,ST033__ST043,33,ST033,타원산업단지,43,ST043,시흥종합버스터미널,2934.0,2.934,2.565523484039041,0.07531911,0.07531911,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.889229462,PRELIMINARY_90M,0.24480600750938675,0.3897839977771891,0.3897839977771891,0.07531911,0.14820491033333333,0.21452850640497728,balanced,T2_SPANNER
1243,ST033__ST044,33,ST033,타원산업단지,44,ST044,경기과학기술대학교,1598.0,1.598,1.7010597777371803,0.123630586,0.123630586,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.331684145,PRELIMINARY_90M,0.13333333333333333,0.5878688174793252,0.5878688174793252,0.123630586,0.05528069083333333,0.22502835691149795,balanced,T2_SPANNER
1145,ST029__ST040,29,ST029,관곡공원,40,ST040,갯골생태공원,3173.0,3.173,2.6002442194967386,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.529257702,PRELIMINARY_90M,0.26474760116812684,0.38457926086402144,0.38457926086402144,0.0,0.25487628366666665,0.22605078642470372,balanced,T2_SPANNER
1226,ST032__ST049,32,ST032,희망공원,49,ST049,거북섬 웨이브파크 정문,4499.0,4.499,3.070219818149316,0.042639664,0.042639664,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.994963213,PRELIMINARY_90M,0.37538589904046726,0.32570957756464014,0.32570957756464014,0.042639664,0.16582720216666666,0.22739058569294351,balanced,T2_SPANNER
1448,ST046__ST054,46,ST046,배곧1동행정복지센터,54,ST054,시흥 프리미엄 아울렛,1087.0,1.087,2.0,0.198910149,0.198910149,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.722410179,PRELIMINARY_90M,0.09069670421360033,0.5,0.5,0.198910149,0.1204016965,0.2275021374284001,balanced,T2_SPANNER
1210,ST032__ST033,32,ST032,희망공원,33,ST033,타원산업단지,2081.0,2.081,1.4965117896209403,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.481788461,PRELIMINARY_90M,0.17363370880267,0.6682205960123411,0.6682205960123411,0.0,0.08029807683333333,0.2305380954120861,balanced,T2_SPANNER
1,ST001__ST002,1,ST001,월곶역,2,ST002,월곶포구,619.0,0.619,1.5532421960245575,0.149164241,0.149164241,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.47799073,PRELIMINARY_90M,0.05164789319983312,0.6438145979805647,0.6438145979805647,0.149164241,0.07966512166666666,0.23107296346176612,balanced,T2_SPANNER
880,ST020__ST045,20,ST020,시화공업단지[왼쪽부근],45,ST045,시흥중앙도서관,1373.0,1.373,2.951996349336429,0.38168565,0.38168565,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.548337,PRELIMINARY_90M,0.1145598664997914,0.3387538064621209,0.3387538064621209,0.38168565,0.0913895,0.23159720574047807,balanced,T2_SPANNER
108,ST003__ST004,3,ST003,배곧한울공원,4,ST004,배곧중심상가,4685.0,4.685,2.9330495193194137,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.18657571,PRELIMINARY_90M,0.3909052982895286,0.340942078684045,0.340942078684045,0.0,0.19776261833333333,0.23240249882672673,balanced,T2_SPANNER
115,ST003__ST011,3,ST003,배곧한울공원,11,ST011,배곧생명공원,4442.0,4.442,2.929381135965357,0.030002831,0.030002831,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.252044916,PRELIMINARY_90M,0.3706299541093033,0.3413690310634355,0.3413690310634355,0.030002831,0.20867415266666667,0.23766899220985138,balanced,T2_SPANNER
934,ST022__ST032,22,ST022,오이도박물관,32,ST032,희망공원,2894.0,2.894,2.88457420094931,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.242877844,PRELIMINARY_90M,0.24146850229453484,0.3466716160987993,0.3466716160987993,0.0,0.373812974,0.24048827309833354,balanced,T2_SPANNER
53,ST001__ST054,1,ST001,월곶역,54,ST054,시흥 프리미엄 아울렛,3069.0,3.069,2.971566575272677,0.131704676,0.131704676,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.446878915,PRELIMINARY_90M,0.2560700876095119,0.3365228322061867,0.3365228322061867,0.131704676,0.24114648583333334,0.24136102041225796,balanced,T2_SPANNER
209,ST004__ST054,4,ST004,배곧중심상가,54,ST054,시흥 프리미엄 아울렛,3518.0,3.518,3.9115620934849367,0.174673018,0.174673018,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.470188615,PRELIMINARY_90M,0.29353358364622445,0.25565233942357485,0.25565233942357485,0.174673018,0.24503143583333334,0.24222259422578316,balanced,T2_SPANNER
868,ST020__ST033,20,ST020,시화공업단지[왼쪽부근],33,ST033,타원산업단지,1990.0,1.99,1.8702031081023514,0.164715764,0.164715764,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.638115692,PRELIMINARY_90M,0.16604088443888193,0.5347012822659006,0.5347012822659006,0.164715764,0.10635261533333333,0.24295263650952897,balanced,T2_SPANNER
957,ST022__ST055,22,ST022,오이도박물관,55,ST055,해양생태과학관,1977.0,1.977,2.056726097058233,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.016046436,PRELIMINARY_90M,0.16495619524405508,0.486209613146989,0.486209613146989,0.0,0.33600773933333333,0.24679338693109437,balanced,T2_SPANNER
534,ST011__ST050,11,ST011,배곧생명공원,50,ST050,시흥한라3차아파트,995.0,0.995,2.969355785245408,0.47264275,0.47264275,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.56995669,PRELIMINARY_90M,0.08302044221944097,0.3367733853144018,0.3367733853144018,0.47264275,0.09499278166666668,0.24685733980012736,balanced,T2_SPANNER
